1102,Bridgeport,CT,Classic Fly Rod and Reel,Fishing,103
1103,Wichita,KS,Reaction Hiking Boots,Apparel,129
1104,Fort Smith,AR,River Raincoat,Apparel,130
1105,Jonesboro,AR,Polarized Sunglasses,Apparel,39
1106,South Bend,IN,Self-inflating Lifejacket,Boating,169
1107,Springfield,MO,Baitcasting Rod Combo,Fishing,99
1108,Oklahoma City,OK,River Kayak,Boating,279
1109,Cambridge,MA,Classic Fly Rod and Reel,Fishing,129
1110,Lansing,MI,Waders,Fishing,65
1111,Mesa,AZ,Bolt-action .22 Rifle,Firearms,299
1112,Salem,OR,Logo Tee,Apparel,19
1113,Kearney,NE,River Kayak,Boating,349
1114,Stamford,CT,Quad-prop Camera Drone,Other,149
1115,Portland,ME,Quad-prop Camera Drone,Other,119
1116,Baton Rouge,LA,Waders,Fishing,65
1117,Rochester,MN,Logo Tee,Apparel,24
1118,Nashville,TN,River Kayak,Boating,349
1119,Memphis,TN,EZ-Conceal Holster,Firearms,49
1120,Billings,MT,Expedition Cooler,Other,200
1121,Denver,CO,Sonar/GPS Combo,Fishing,999
1122,Dover,DE,Sea Kayak,Boating,449
1123,Springdale,AR,Bolt-action .22 Rifle,Firearms,239
1124,Baton Rouge,LA,Sea Kayak,Boating,359
1125,North Las Vegas,NV,Expedition Cooler,Other,200
1126,Mesa,AZ,Self-inflating Lifejacket,Boating,135
1127,Joliet,IL,Logo Tee,Apparel,24
1128,Kearney,NE,Bolt-action .22 Rifle,Firearms,239
1129,Tallahassee,FL,River Kayak,Boating,279
1130,Columbia,MD,Polarized Sunglasses,Apparel,39
1131,Paradise,NV,Sea Kayak,Boating,359
1132,San Francisco,CA,Quad-prop Camera Drone,Other,119
1133,Iowa City,IA,Classic Fly Rod and Reel,Fishing,129
1134,Gary,IN,Self-inflating Lifejacket,Boating,169
1135,Eugene,OR,Waders,Fishing,52
1136,South Portland,ME,EZ-Conceal Holster,Firearms,49
1137,Harrisburg,PA,Waders,Fishing,65
1138,Gresham,OR,River Raincoat,Apparel,130
1139,Cleveland,OH,Nylon Tackle Bag,Fishing,47
